Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
417,78.172,13.499,0,17510400,9980284928,14192459776,2223620096,37632794624
418,79.813,11.177,0,12140544,10141745152,14300524544,2223673344,37365948416
419,68.866,8.376,4177920,131063808,10548510720,13755715584,2223702016,37494177792
420,67.115,7.056,4620288,116101120,10782392320,13405884416,2223742976,37600141312
421,62.505,10.749,327680,20783104,11067170816,13168865280,2223812608,37552087040
422,72.991,11.667,0,9801728,10566262784,13666848768,2223828992,37554630656
423,72.727,10.153,32768,58707968,10838380544,13339308032,2223833088,37603962880
424,64.304,6.371,8781824,116641792,10985926656,13073842176,2223853568,37715558400
425,80.484,9.376,0,79712256,11381972992,12603334656,2223935488,37787086848
426,83.326,5.882,0,14241792,11589070848,12629962752,2224005120,37554163712
427,76.698,5.688,655360,7041024,11772256256,12444766208,2224078848,37554475008
428,59.462,6.56,655360,38150144,11818565632,12393521152,2224115712,37555310592
429,61.915,12.34,327680,19968000,11622305792,12533358592,2224148480,37609865216
430,64.069,8.425,8798208,32346112,11222462464,12831424512,2224160768,37705764864
431,25.271,3.58,0,105549824,11304734720,12616744960,2224168960,37828374528
432,15.008,3.607,0,203526144,11397910528,12343361536,2224189440,38005153792
433,24.34,5.033,0,12640256,11611693056,12257239040,2224259072,37878919168
434,40.426,5.549,0,9416704,11538661376,12335042560,2224345088,37878861824
435,50.716,5.644,344064,6369280,11311419392,12563812352,2224398336,37878931456
436,39.179,3.856,0,16293888,11029217280,12854517760,2224435200,37871546368
437,12.224,3.63,0,2519040,11073835008,12993630208,2224435200,37691830272
438,11.962,3.146,0,49770496,11095289856,12972060672,2224435200,37691465728
439,18.552,8.236,0,8941568,11212537856,12853690368,2224533504,37691715584
440,22.739,5.768,7454720,108343296,11394797568,12564320256,2224574464,37793202176
441,30.455,7.245,1343488,116719616,10170249216,13646938112,2224599040,37949841408
442,33.517,8.517,49152,22196224,8987004928,14895222784,2224689152,37904080896
443,41.296,8.175,360448,8765440,8451686400,15440781312,2224701440,37902741504
444,43.88,6.141,0,39444480,8137248768,15736045568,2224742400,37929988096
445,53.543,6.703,0,12550144,7923834880,16421199872,2224758784,37477101568
446,24.772,10.439,0,20606976,7927988224,17161404416,2224775168,36753973248
447,21.399,8.743,0,110436352,7995973632,17032318976,2224787456,36815765504
448,25.388,9.106,0,47132672,7474733056,17536155648,2224832512,36836519936
