Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_write,mem_used,mem_free,mem_buff,mem_cach
267,4.460,1.917,0,675840,6705229824,11754549248,2892201984,41578819584
268,5.287,1.499,0,0,6755254272,11704406016,2892201984,41578823680
269,4.794,0.709,0,8192,6778494976,11681026048,2892201984,41578823680
270,4.606,2.282,0,315392,6606729216,11825238016,2892201984,41606197248
271,0.375,1.542,0,0,6606180352,11825881088,2892201984,41606201344
272,0.209,1.293,0,27865088,6606815232,11825238016,2892201984,41606205440
273,0.416,0.666,0,0,6608027648,11824025600,2892201984,41606205440
274,0.292,0.917,0,0,6607597568,11824443392,2892201984,41606217728
275,0.500,1.166,0,434176,6607994880,11824037888,2892201984,41606225920
276,0.375,1.334,0,16384,6607474688,11824549888,2892201984,41606234112
277,0.499,1.372,0,0,6608216064,11823804416,2892201984,41606238208
278,0.416,0.541,0,0,6608789504,11823239168,2892201984,41606246400
279,0.250,1.126,0,0,6608957440,11823071232,2892201984,41606246400
280,0.459,1.542,0,69632,6624567296,11807461376,2892201984,41606246400
281,5.526,3.241,0,5029888,5992628224,12446580736,2892206080,41606451200
282,3.184,2.807,16384,4079616,5969235968,12475518976,2892206080,41606299648
283,0.209,0.250,0,4096,5967691776,12477128704,2892206080,41606299648
284,0.375,1.374,0,0,5967884288,12477632512,2892206080,41606316032
285,0.334,1.251,0,16384,5967601664,12477915136,2892206080,41606316032
286,1.298,1.842,0,126976,5872680960,12573270016,2892206080,41606307840
287,4.042,2.583,0,2850816,5878861824,12770295808,2892210176,41409413120
288,7.128,4.570,0,36474880,5946675200,12701986816,2892210176,41409716224
289,11.642,4.657,0,2334720,6080008192,12561338368,2892210176,41412202496
290,16.298,4.168,0,45178880,6148956160,12477493248,2892214272,41424302080
291,22.144,3.299,0,5562368,6295113728,12346630144,2892218368,41407557632
292,34.404,4.712,0,749568,6533619712,11994116096,2892218368,41518297088
293,40,3.917,0,19439616,6676516864,11844243456,2892218368,41521831936
294,41.245,2.424,16384,44220416,6799020032,11680681984,2892218368,41562185728
295,4.839,1.418,0,36864,6746472448,11724783616,2892218368,41570574336
296,4.382,1.753,4489216,3149824,6833766400,11629240320,2892218368,41578831872
297,4.368,0.998,0,20160512,6672343040,11790299136,2892222464,41578831872
298,4.293,1.209,0,0,6725685248,11736641536,2892222464,41578848256
299,1.458,1.417,0,1236992,6713298944,11748900864,2892222464,41578860544
300,0.917,1.376,0,0,6717046784,11744772096,2892222464,41579126784
301,0.834,1.334,0,0,6718103552,11743469568,2892222464,41579372544
302,0.751,0.417,0,0,6719795200,11741618176,2892222464,41579532288
303,4.207,1.708,0,2850816,6658170880,11803648000,2892222464,41579126784
304,4.417,1.625,0,0,6712258560,11749482496,2892222464,41578958848
305,1.209,1.460,0,1310720,6716411904,11745316864,2892222464,41578971136
306,0.375,0.958,0,0,6717587456,11744141312,2892222464,41578971136
307,0.334,0.959,0,0,6712291328,11750121472,2892222464,41578987520
308,0.334,1.335,0,0,6712717312,11749707776,2892222464,41578991616
309,4.630,1.530,0,684032,6764953600,11696832512,2892222464,41579057152
310,4.740,1.663,16384,425984,6778511360,11681148928,2892222464,41579069440
311,1.668,1.001,49152,15101952,6787469312,11671568384,2892222464,41579569152
312,5.305,1.420,0,8192,6829297664,11629674496,2892222464,41579585536
313,4.330,1.915,0,0,6886498304,11572719616,2892222464,41579208704
314,3.206,1.790,0,12288,6910963712,11548246016,2892222464,41579216896
315,3.325,1.704,0,20480,6945226752,11513978880,2892222464,41579245568
316,2.960,0.917,0,0,6976131072,11483058176,2892222464,41579245568
317,3.042,1.583,0,122880,7006588928,11452604416,2892222464,41579249664
318,3.455,1.790,0,0,7034286080,11424915456,2892222464,41579249664
319,3.132,1.712,0,0,7062138880,11397066752,2892222464,41579253760
320,4.653,2.243,0,5492736,6634815488,11824193536,2892222464,41579286528
